id;question;q1;r1;q2;r2;q3;r3;q4;r4
35;Dada a função $f(x) = -2x + 58$, qual o valor de $f(-9)$;72;FALSE;78;FALSE;74;FALSE;76;TRUE
36;Dada a função $f(x) = -18x - 29$, qual o valor de $f(-22)$;367;TRUE;349;FALSE;331;FALSE;385;FALSE
37;Dada a função $f(x) = -20x - 60$, qual o valor de $f(-28)$;520;FALSE;460;FALSE;500;TRUE;480;FALSE
38;Dada a função $f(x) = -4x - 26$, qual o valor de $f(19)$;-102;TRUE;-98;FALSE;-106;FALSE;-110;FALSE
39;Dada a função $f(x) = -20x - 100$, qual o valor de $f(-27)$;400;FALSE;440;TRUE;420;FALSE;460;FALSE
40;Dada a função $f(x) = -15x - 75$, qual o valor de $f(21)$;-375;FALSE;-420;FALSE;-390;TRUE;-405;FALSE
41;Dada a função $f(x) = -18x - 27$, qual o valor de $f(-19)$;279;FALSE;315;TRUE;333;FALSE;297;FALSE
42;Dada a função $f(x) = 16x - 98$, qual o valor de $f(-24)$;-498;FALSE;-466;FALSE;-450;FALSE;-482;TRUE
43;Dada a função $f(x) = -14x - 58$, qual o valor de $f(18)$;-296;FALSE;-338;FALSE;-310;TRUE;-324;FALSE
44;Dada a função $f(x) = -20x - 71$, qual o valor de $f(10)$;-271;TRUE;-251;FALSE;-311;FALSE;-291;FALSE
45;Dada a função $f(x) = -x + 56$, qual o valor de $f(5)$;51;TRUE;49;FALSE;52;FALSE;50;FALSE
46;Dada a função $f(x) = 17x + 13$, qual o valor de $f(-21)$;-361;FALSE;-310;FALSE;-344;TRUE;-327;FALSE
47;Dada a função $f(x) = 15x + 37$, qual o valor de $f(-6)$;-53;TRUE;-68;FALSE;-38;FALSE;-23;FALSE
48;Dada a função $f(x) = 4x - 86$, qual o valor de $f(27)$;18;FALSE;22;TRUE;30;FALSE;26;FALSE
49;Dada a função $f(x) = -x + 4$, qual o valor de $f(9)$;-7;FALSE;-4;FALSE;-5;TRUE;-6;FALSE
50;Dada a função $f(x) = 7x + 98$, qual o valor de $f(25)$;266;FALSE;273;TRUE;287;FALSE;280;FALSE
51;Dada a função $f(x) = -2x + 60$, qual o valor de $f(24)$;8;FALSE;12;TRUE;10;FALSE;14;FALSE
52;Dada a função $f(x) = -6x + 37$, qual o valor de $f(15)$;-65;FALSE;-47;FALSE;-59;FALSE;-53;TRUE
53;Dada a função $f(x) = -5x - 37$, qual o valor de $f(18)$;-127;TRUE;-122;FALSE;-132;FALSE;-137;FALSE
54;Dada a função $f(x) = x + 77$, qual o valor de $f(-6)$;70;FALSE;73;FALSE;71;TRUE;72;FALSE
55;Dada a função $f(x) = -10x + 74$, qual o valor de $f(-13)$;214;FALSE;204;TRUE;184;FALSE;194;FALSE
56;Dada a função $f(x) = 12x - 96$, qual o valor de $f(-15)$;-264;FALSE;-276;TRUE;-288;FALSE;-252;FALSE
57;Dada a função $f(x) = -15x + 34$, qual o valor de $f(13)$;-176;FALSE;-146;FALSE;-191;FALSE;-161;TRUE
58;Dada a função $f(x) = 20x + 10$, qual o valor de $f(1)$;50;FALSE;70;FALSE;30;TRUE;10;FALSE
59;Dada a função $f(x) = 11x - 83$, qual o valor de $f(25)$;181;FALSE;203;FALSE;214;FALSE;192;TRUE
60;Dada a função $f(x) = -5x - 85$, qual o valor de $f(-16)$;0;FALSE;-15;FALSE;-5;TRUE;-10;FALSE
61;Dada a função $f(x) = 2x + 17$, qual o valor de $f(-11)$;-5;TRUE;-7;FALSE;-3;FALSE;-1;FALSE
62;Dada a função $f(x) = 18x - 59$, qual o valor de $f(-12)$;-239;FALSE;-293;FALSE;-275;TRUE;-257;FALSE
63;Dada a função $f(x) = 18x - 70$, qual o valor de $f(26)$;434;FALSE;416;FALSE;398;TRUE;380;FALSE
64;Dada a função $f(x) = 11x + 71$, qual o valor de $f(-3)$;49;FALSE;27;FALSE;60;FALSE;38;TRUE
65;Dada a função $f(x) = -2x - 32$, qual o valor de $f(-21)$;6;FALSE;10;TRUE;12;FALSE;8;FALSE
66;Dada a função $f(x) = -6x + 63$, qual o valor de $f(-13)$;129;FALSE;135;FALSE;141;TRUE;147;FALSE
67;Dada a função $f(x) = -11x - 56$, qual o valor de $f(-27)$;252;FALSE;241;TRUE;219;FALSE;230;FALSE
68;Dada a função $f(x) = -13x - 97$, qual o valor de $f(-2)$;-58;FALSE;-97;FALSE;-71;TRUE;-84;FALSE
69;Dada a função $f(x) = 16x - 37$, qual o valor de $f(12)$;187;FALSE;171;FALSE;155;TRUE;139;FALSE
70;Dada a função $f(x) = 3x + 20$, qual o valor de $f(-7)$;-4;FALSE;-1;TRUE;2;FALSE;5;FALSE
71;Dada a função $f(x) = -13x - 38$, qual o valor de $f(4)$;-77;FALSE;-90;TRUE;-116;FALSE;-103;FALSE
72;Dada a função $f(x) = 7x + 13$, qual o valor de $f(-5)$;-29;FALSE;-22;TRUE;-8;FALSE;-15;FALSE
73;Dada a função $f(x) = -2x + 96$, qual o valor de $f(-24)$;146;FALSE;142;FALSE;144;TRUE;140;FALSE
74;Dada a função $f(x) = -14x + 21$, qual o valor de $f(27)$;-371;FALSE;-385;FALSE;-343;FALSE;-357;TRUE
75;Dada a função $f(x) = -6x - 17$, qual o valor de $f(15)$;-101;FALSE;-107;TRUE;-113;FALSE;-119;FALSE
76;Dada a função $f(x) = 11x - 74$, qual o valor de $f(23)$;201;FALSE;190;FALSE;168;FALSE;179;TRUE
77;Dada a função $f(x) = -15x - 94$, qual o valor de $f(-28)$;311;FALSE;341;FALSE;326;TRUE;296;FALSE
78;Dada a função $f(x) = -7x + 72$, qual o valor de $f(-9)$;135;TRUE;121;FALSE;128;FALSE;142;FALSE
79;Dada a função $f(x) = -10x - 44$, qual o valor de $f(21)$;-264;FALSE;-274;FALSE;-244;FALSE;-254;TRUE
80;Dada a função $f(x) = -9x - 14$, qual o valor de $f(29)$;-284;FALSE;-275;TRUE;-293;FALSE;-266;FALSE
81;Dada a função $f(x) = -6x - 16$, qual o valor de $f(-15)$;62;FALSE;74;TRUE;80;FALSE;68;FALSE
82;Dada a função $f(x) = -16x + 92$, qual o valor de $f(10)$;-52;FALSE;-84;FALSE;-68;TRUE;-100;FALSE
83;Dada a função $f(x) = -7x - 53$, qual o valor de $f(12)$;-144;FALSE;-130;FALSE;-137;TRUE;-151;FALSE
84;Dada a função $f(x) = 18x + 44$, qual o valor de $f(-12)$;-172;TRUE;-190;FALSE;-136;FALSE;-154;FALSE
85;Dada a função $f(x) = -10x + 36$, qual o valor de $f(-25)$;266;FALSE;296;FALSE;276;FALSE;286;TRUE
86;Dada a função $f(x) = 15x + 17$, qual o valor de $f(1)$;47;FALSE;17;FALSE;62;FALSE;32;TRUE
87;Dada a função $f(x) = 4x + 76$, qual o valor de $f(0)$;84;FALSE;80;FALSE;76;TRUE;72;FALSE
88;Dada a função $f(x) = x - 38$, qual o valor de $f(27)$;-12;FALSE;-11;TRUE;-9;FALSE;-10;FALSE
89;Dada a função $f(x) = 19x + 52$, qual o valor de $f(8)$;185;FALSE;242;FALSE;223;FALSE;204;TRUE
90;Dada a função $f(x) = -17x - 75$, qual o valor de $f(-15)$;163;FALSE;180;TRUE;197;FALSE;146;FALSE
91;Dada a função $f(x) = -6x + 43$, qual o valor de $f(-19)$;157;TRUE;151;FALSE;163;FALSE;145;FALSE
92;Dada a função $f(x) = -3x $, qual o valor de $f(28)$;-90;FALSE;-84;TRUE;-87;FALSE;-81;FALSE
93;Dada a função $f(x) = 20x - 24$, qual o valor de $f(-17)$;-384;FALSE;-324;FALSE;-364;TRUE;-344;FALSE
94;Dada a função $f(x) = 5x + 14$, qual o valor de $f(-8)$;-31;FALSE;-26;TRUE;-16;FALSE;-21;FALSE
95;Dada a função $f(x) = 14x - 31$, qual o valor de $f(13)$;179;FALSE;165;FALSE;151;TRUE;137;FALSE
96;Dada a função $f(x) = -12x + 51$, qual o valor de $f(7)$;-57;FALSE;-45;FALSE;-33;TRUE;-21;FALSE
97;Dada a função $f(x) = 2x + 28$, qual o valor de $f(-26)$;-20;FALSE;-26;FALSE;-22;FALSE;-24;TRUE
98;Dada a função $f(x) = -2x - 40$, qual o valor de $f(-17)$;-6;TRUE;-10;FALSE;-8;FALSE;-4;FALSE
99;Dada a função $f(x) = 10x + 52$, qual o valor de $f(11)$;162;TRUE;182;FALSE;172;FALSE;152;FALSE
100;Dada a função $f(x) = -x - 99$, qual o valor de $f(27)$;-127;FALSE;-126;TRUE;-128;FALSE;-125;FALSE
101;Dada a função $f(x) = -5x - 88$, qual o valor de $f(-11)$;-38;FALSE;-28;FALSE;-33;TRUE;-43;FALSE
102;Dada a função $f(x) = -15x - 69$, qual o valor de $f(8)$;-219;FALSE;-189;TRUE;-204;FALSE;-174;FALSE
103;Dada a função $f(x) = -19x - 95$, qual o valor de $f(-20)$;247;FALSE;266;FALSE;304;FALSE;285;TRUE
104;Dada a função $f(x) = -15x - 28$, qual o valor de $f(-11)$;122;FALSE;152;FALSE;107;FALSE;137;TRUE
105;Dada a função $f(x) = -11x + 30$, qual o valor de $f(18)$;-157;FALSE;-168;TRUE;-179;FALSE;-190;FALSE
106;Dada a função $f(x) = -14x + 16$, qual o valor de $f(-21)$;282;FALSE;310;TRUE;296;FALSE;324;FALSE
107;Dada a função $f(x) = -11x - 11$, qual o valor de $f(17)$;-209;FALSE;-198;TRUE;-220;FALSE;-187;FALSE
108;Dada a função $f(x) = 10x + 77$, qual o valor de $f(-9)$;-3;FALSE;7;FALSE;-23;FALSE;-13;TRUE
109;Dada a função $f(x) = -12x + 35$, qual o valor de $f(9)$;-61;FALSE;-85;FALSE;-73;TRUE;-97;FALSE
110;Dada a função $f(x) = -13x + 38$, qual o valor de $f(22)$;-248;TRUE;-274;FALSE;-261;FALSE;-235;FALSE
111;Dada a função $f(x) = 12x + 25$, qual o valor de $f(27)$;349;TRUE;361;FALSE;337;FALSE;373;FALSE
112;Dada a função $f(x) = -20x - 31$, qual o valor de $f(15)$;-351;FALSE;-311;FALSE;-371;FALSE;-331;TRUE
113;Dada a função $f(x) = -4x - 91$, qual o valor de $f(4)$;-115;FALSE;-103;FALSE;-111;FALSE;-107;TRUE
114;Dada a função $f(x) = 2x + 12$, qual o valor de $f(-22)$;-28;FALSE;-32;TRUE;-30;FALSE;-34;FALSE
115;Dada a função $f(x) = 12x + 29$, qual o valor de $f(-8)$;-55;FALSE;-79;FALSE;-67;TRUE;-43;FALSE
116;Dada a função $f(x) = 10x - 97$, qual o valor de $f(-26)$;-347;FALSE;-367;FALSE;-337;FALSE;-357;TRUE
117;Dada a função $f(x) = 5x - 32$, qual o valor de $f(-7)$;-72;FALSE;-62;FALSE;-67;TRUE;-57;FALSE
118;Dada a função $f(x) = -4x - 88$, qual o valor de $f(30)$;-216;FALSE;-208;TRUE;-212;FALSE;-204;FALSE
119;Dada a função $f(x) = -14x - 36$, qual o valor de $f(4)$;-120;FALSE;-78;FALSE;-106;FALSE;-92;TRUE
120;Dada a função $f(x) = -3x - 39$, qual o valor de $f(-27)$;39;FALSE;45;FALSE;36;FALSE;42;TRUE
121;Dada a função $f(x) = -19x - 79$, qual o valor de $f(12)$;-307;TRUE;-326;FALSE;-345;FALSE;-288;FALSE
122;Dada a função $f(x) = -9x + 57$, qual o valor de $f(15)$;-78;TRUE;-87;FALSE;-96;FALSE;-69;FALSE
123;Dada a função $f(x) = -16x - 92$, qual o valor de $f(2)$;-108;FALSE;-156;FALSE;-140;FALSE;-124;TRUE
124;Dada a função $f(x) = -x + 53$, qual o valor de $f(-29)$;83;FALSE;81;FALSE;80;FALSE;82;TRUE
125;Dada a função $f(x) = 13x + 7$, qual o valor de $f(4)$;85;FALSE;59;TRUE;46;FALSE;72;FALSE
126;Dada a função $f(x) = 10x + 85$, qual o valor de $f(10)$;175;FALSE;185;TRUE;205;FALSE;195;FALSE
127;Dada a função $f(x) = -17x - 58$, qual o valor de $f(-2)$;-58;FALSE;-7;FALSE;-24;TRUE;-41;FALSE
128;Dada a função $f(x) = 19x + 3$, qual o valor de $f(12)$;250;FALSE;231;TRUE;269;FALSE;212;FALSE
129;Dada a função $f(x) = -12x - 12$, qual o valor de $f(24)$;-324;FALSE;-288;FALSE;-300;TRUE;-312;FALSE
130;Dada a função $f(x) = -11x - 54$, qual o valor de $f(-7)$;34;FALSE;1;FALSE;12;FALSE;23;TRUE
131;Dada a função $f(x) = -4x - 38$, qual o valor de $f(30)$;-166;FALSE;-162;FALSE;-158;TRUE;-154;FALSE
132;Dada a função $f(x) = -14x + 55$, qual o valor de $f(-20)$;321;FALSE;307;FALSE;349;FALSE;335;TRUE
133;Dada a função $f(x) = 2x - 67$, qual o valor de $f(-16)$;-97;FALSE;-99;TRUE;-101;FALSE;-95;FALSE
134;Dada a função $f(x) = 11x - 79$, qual o valor de $f(6)$;-13;TRUE;-2;FALSE;9;FALSE;-24;FALSE
135;Dada a função $f(x) = 10x - 76$, qual o valor de $f(-4)$;-116;TRUE;-106;FALSE;-126;FALSE;-96;FALSE
136;Dada a função $f(x) = -16x + 49$, qual o valor de $f(-12)$;209;FALSE;225;FALSE;257;FALSE;241;TRUE
137;Dada a função $f(x) = 8x - 61$, qual o valor de $f(27)$;163;FALSE;171;FALSE;155;TRUE;147;FALSE
138;Dada a função $f(x) = -5x + 50$, qual o valor de $f(-12)$;105;FALSE;100;FALSE;115;FALSE;110;TRUE
139;Dada a função $f(x) = x + 66$, qual o valor de $f(-26)$;41;FALSE;40;TRUE;39;FALSE;42;FALSE
140;Dada a função $f(x) = -5x + 90$, qual o valor de $f(-15)$;165;TRUE;160;FALSE;155;FALSE;170;FALSE
141;Dada a função $f(x) = -7x + 71$, qual o valor de $f(-27)$;253;FALSE;267;FALSE;260;TRUE;246;FALSE
142;Dada a função $f(x) = 8x - 33$, qual o valor de $f(8)$;23;FALSE;47;FALSE;39;FALSE;31;TRUE
143;Dada a função $f(x) = 10x + 55$, qual o valor de $f(6)$;125;FALSE;115;TRUE;135;FALSE;105;FALSE
144;Dada a função $f(x) = -19x + 43$, qual o valor de $f(-27)$;537;FALSE;575;FALSE;518;FALSE;556;TRUE
145;Dada a função $f(x) = 10x - 48$, qual o valor de $f(-24)$;-288;TRUE;-298;FALSE;-278;FALSE;-268;FALSE
146;Dada a função $f(x) = -12x + 18$, qual o valor de $f(-23)$;282;FALSE;270;FALSE;294;TRUE;306;FALSE
147;Dada a função $f(x) = 14x + 100$, qual o valor de $f(0)$;128;FALSE;100;TRUE;86;FALSE;114;FALSE
148;Dada a função $f(x) = 17x - 6$, qual o valor de $f(2)$;11;FALSE;28;TRUE;62;FALSE;45;FALSE
149;Dada a função $f(x) = -20x - 3$, qual o valor de $f(-14)$;237;FALSE;257;FALSE;277;TRUE;297;FALSE
150;Dada a função $f(x) = 4x - 24$, qual o valor de $f(1)$;-12;FALSE;-20;TRUE;-16;FALSE;-24;FALSE
151;Dada a função $f(x) = 6x + 23$, qual o valor de $f(-7)$;-13;FALSE;-25;FALSE;-19;TRUE;-7;FALSE
152;Dada a função $f(x) = -13x - 94$, qual o valor de $f(8)$;-185;FALSE;-224;FALSE;-198;TRUE;-211;FALSE
153;Dada a função $f(x) = -3x - 34$, qual o valor de $f(-5)$;-16;FALSE;-19;TRUE;-25;FALSE;-22;FALSE
154;Dada a função $f(x) = 5x - 76$, qual o valor de $f(10)$;-31;FALSE;-26;TRUE;-21;FALSE;-16;FALSE
155;Dada a função $f(x) = -13x - 47$, qual o valor de $f(-25)$;291;FALSE;252;FALSE;278;TRUE;265;FALSE
156;Dada a função $f(x) = 6x - 12$, qual o valor de $f(7)$;30;TRUE;24;FALSE;42;FALSE;36;FALSE
157;Dada a função $f(x) = -15x + 3$, qual o valor de $f(-28)$;408;FALSE;393;FALSE;423;TRUE;438;FALSE
158;Dada a função $f(x) = 11x - 92$, qual o valor de $f(-20)$;-323;FALSE;-301;FALSE;-290;FALSE;-312;TRUE
159;Dada a função $f(x) = 12x + 65$, qual o valor de $f(28)$;425;FALSE;401;TRUE;389;FALSE;413;FALSE
160;Dada a função $f(x) = 3x - 36$, qual o valor de $f(-28)$;-123;FALSE;-114;FALSE;-120;TRUE;-117;FALSE
161;Dada a função $f(x) = -10x - 69$, qual o valor de $f(-10)$;41;FALSE;11;FALSE;31;TRUE;21;FALSE
162;Dada a função $f(x) = -10x + 50$, qual o valor de $f(-18)$;240;FALSE;220;FALSE;230;TRUE;210;FALSE
163;Dada a função $f(x) = 19x - 17$, qual o valor de $f(-23)$;-416;FALSE;-454;TRUE;-435;FALSE;-473;FALSE
164;Dada a função $f(x) = 17x - 12$, qual o valor de $f(15)$;277;FALSE;260;FALSE;226;FALSE;243;TRUE
165;Dada a função $f(x) = -18x - 47$, qual o valor de $f(-18)$;295;FALSE;241;FALSE;259;FALSE;277;TRUE
166;Dada a função $f(x) = -16x - 88$, qual o valor de $f(4)$;-152;TRUE;-136;FALSE;-184;FALSE;-168;FALSE
167;Dada a função $f(x) = -8x + 8$, qual o valor de $f(13)$;-88;FALSE;-104;FALSE;-96;TRUE;-112;FALSE
168;Dada a função $f(x) = 19x - 48$, qual o valor de $f(-4)$;-124;TRUE;-105;FALSE;-143;FALSE;-86;FALSE
169;Dada a função $f(x) = -14x - 93$, qual o valor de $f(-16)$;145;FALSE;131;TRUE;103;FALSE;117;FALSE
170;Dada a função $f(x) = -9x - 57$, qual o valor de $f(-23)$;150;TRUE;159;FALSE;132;FALSE;141;FALSE
171;Dada a função $f(x) = -5x + 52$, qual o valor de $f(-14)$;122;TRUE;127;FALSE;112;FALSE;117;FALSE
172;Dada a função $f(x) = -10x + 59$, qual o valor de $f(-19)$;259;FALSE;249;TRUE;239;FALSE;229;FALSE
173;Dada a função $f(x) = -3x - 16$, qual o valor de $f(6)$;-31;FALSE;-34;TRUE;-40;FALSE;-37;FALSE
174;Dada a função $f(x) = -11x + 79$, qual o valor de $f(10)$;-31;TRUE;-53;FALSE;-42;FALSE;-20;FALSE
175;Dada a função $f(x) = 7x + 29$, qual o valor de $f(19)$;155;FALSE;169;FALSE;176;FALSE;162;TRUE
176;Dada a função $f(x) = -4x + 23$, qual o valor de $f(-28)$;139;FALSE;135;TRUE;131;FALSE;127;FALSE
177;Dada a função $f(x) = -9x + 55$, qual o valor de $f(7)$;1;FALSE;-8;TRUE;-17;FALSE;-26;FALSE
178;Dada a função $f(x) = 19x - 46$, qual o valor de $f(23)$;429;FALSE;410;FALSE;391;TRUE;372;FALSE
179;Dada a função $f(x) = 5x - 92$, qual o valor de $f(-28)$;-232;TRUE;-227;FALSE;-222;FALSE;-237;FALSE
180;Dada a função $f(x) = -20x - 39$, qual o valor de $f(-18)$;281;FALSE;301;FALSE;341;FALSE;321;TRUE
181;Dada a função $f(x) = 5x + 56$, qual o valor de $f(27)$;186;FALSE;196;FALSE;191;TRUE;201;FALSE
182;Dada a função $f(x) = -13x + 95$, qual o valor de $f(23)$;-217;FALSE;-230;FALSE;-191;FALSE;-204;TRUE
183;Dada a função $f(x) = 20x + 6$, qual o valor de $f(-6)$;-74;FALSE;-94;FALSE;-134;FALSE;-114;TRUE
184;Dada a função $f(x) = -4x - 34$, qual o valor de $f(-11)$;6;FALSE;14;FALSE;2;FALSE;10;TRUE
185;Dada a função $f(x) = -x - 2$, qual o valor de $f(-21)$;17;FALSE;18;FALSE;20;FALSE;19;TRUE
186;Dada a função $f(x) = 16x + 11$, qual o valor de $f(2)$;75;FALSE;27;FALSE;43;TRUE;59;FALSE
187;Dada a função $f(x) = 12x + 40$, qual o valor de $f(-4)$;-8;TRUE;16;FALSE;4;FALSE;-20;FALSE
188;Dada a função $f(x) = 7x - 24$, qual o valor de $f(-21)$;-164;FALSE;-178;FALSE;-157;FALSE;-171;TRUE
189;Dada a função $f(x) = -x - 67$, qual o valor de $f(-29)$;-38;TRUE;-40;FALSE;-37;FALSE;-39;FALSE
190;Dada a função $f(x) = -14x + 91$, qual o valor de $f(15)$;-105;FALSE;-147;FALSE;-133;FALSE;-119;TRUE
191;Dada a função $f(x) = -7x + 12$, qual o valor de $f(-18)$;124;FALSE;145;FALSE;138;TRUE;131;FALSE
192;Dada a função $f(x) = -8x - 97$, qual o valor de $f(11)$;-177;FALSE;-185;TRUE;-201;FALSE;-193;FALSE
193;Dada a função $f(x) = -x - 9$, qual o valor de $f(-14)$;5;TRUE;6;FALSE;4;FALSE;3;FALSE
194;Dada a função $f(x) = -4x - 89$, qual o valor de $f(21)$;-173;TRUE;-169;FALSE;-177;FALSE;-181;FALSE
195;Dada a função $f(x) = -11x + 28$, qual o valor de $f(-16)$;193;FALSE;182;FALSE;204;TRUE;215;FALSE
196;Dada a função $f(x) = -20x - 96$, qual o valor de $f(-22)$;304;FALSE;364;FALSE;344;TRUE;324;FALSE
197;Dada a função $f(x) = -2x + 37$, qual o valor de $f(1)$;35;TRUE;37;FALSE;33;FALSE;31;FALSE
198;Dada a função $f(x) = 15x + 97$, qual o valor de $f(22)$;442;FALSE;427;TRUE;457;FALSE;412;FALSE
199;Dada a função $f(x) = -14x - 46$, qual o valor de $f(29)$;-452;TRUE;-480;FALSE;-438;FALSE;-466;FALSE
200;Dada a função $f(x) = 4x + 21$, qual o valor de $f(-2)$;21;FALSE;9;FALSE;17;FALSE;13;TRUE
201;Dada a função $f(x) = 15x - 30$, qual o valor de $f(5)$;30;FALSE;60;FALSE;75;FALSE;45;TRUE
202;Dada a função $f(x) = 7x - 71$, qual o valor de $f(6)$;-15;FALSE;-36;FALSE;-22;FALSE;-29;TRUE
203;Dada a função $f(x) = -3x + 100$, qual o valor de $f(2)$;94;TRUE;97;FALSE;88;FALSE;91;FALSE
204;Dada a função $f(x) = -7x + 4$, qual o valor de $f(-22)$;151;FALSE;165;FALSE;144;FALSE;158;TRUE
205;Dada a função $f(x) = 15x + 15$, qual o valor de $f(19)$;315;FALSE;330;FALSE;285;FALSE;300;TRUE
206;Dada a função $f(x) = -10x - 35$, qual o valor de $f(20)$;-255;FALSE;-245;FALSE;-225;FALSE;-235;TRUE
207;Dada a função $f(x) = 2x + 4$, qual o valor de $f(-26)$;-46;FALSE;-50;FALSE;-48;TRUE;-44;FALSE
208;Dada a função $f(x) = -2x - 63$, qual o valor de $f(-22)$;-17;FALSE;-23;FALSE;-19;TRUE;-21;FALSE
209;Dada a função $f(x) = 8x - 53$, qual o valor de $f(4)$;-29;FALSE;-21;TRUE;-13;FALSE;-5;FALSE
210;Dada a função $f(x) = -2x - 69$, qual o valor de $f(-5)$;-63;FALSE;-61;FALSE;-57;FALSE;-59;TRUE
211;Dada a função $f(x) = -3x - 12$, qual o valor de $f(3)$;-24;FALSE;-18;FALSE;-27;FALSE;-21;TRUE
212;Dada a função $f(x) = -x + 82$, qual o valor de $f(-29)$;110;FALSE;112;FALSE;111;TRUE;109;FALSE
213;Dada a função $f(x) = -x - 12$, qual o valor de $f(-1)$;-13;FALSE;-10;FALSE;-11;TRUE;-12;FALSE
214;Dada a função $f(x) = -x - 51$, qual o valor de $f(25)$;-78;FALSE;-76;TRUE;-75;FALSE;-77;FALSE
215;Dada a função $f(x) = 3x + 41$, qual o valor de $f(2)$;53;FALSE;44;FALSE;50;FALSE;47;TRUE
216;Dada a função $f(x) = -20x - 56$, qual o valor de $f(17)$;-376;FALSE;-436;FALSE;-416;FALSE;-396;TRUE
